WORD,COLLECTION FREQUENCY
ect,13248
hou,6897
subject,6355
enron,5456
deal,2799
please,2555
meter,2415
gas,2352
com,2107
hpl,1995
corp,1583
thanks,1489
daren,1480
need,1437
volume,1337
know,1275
day,1272
forwarded,1188
new,1121
price,1086
mmbtu,1071
get,1037
http,972
let,947
company,946
change,914
contract,900
farmer,894
month,889
see,878
attached,870
information,867
xl,862
may,815
time,812
would,801
ticket,751
robert,750
pec,720
one,703
question,703
sitara,689
nom,663
nomination,651
flow,636
mail,635
call,632
energy,631
email,622
sale,608
texas,595
also,589
number,586
production,584
www,584
service,576
file,575
report,575
want,526
message,524
gary,523
following,520
daily,517
bob,516
font,507
well,490
system,480
like,476
ena,475
product,472
make,471
july,471
business,470
mary,463
delivery,452
plant,445
statement,439
contact,438
per,435
back,434
take,433
could,422
effective,420
march,414
purchase,413
work,412
stock,411
list,410
ami,403
today,402
teco,402
fuel,401
first,399
issue,396
set,395
free,394
line,393
pat,391
order,390
week,384
year,384
rate,379
help,378
security,376
nbsp,375
forward,373
inc,371
melissa,370
jackie,370
group,369
vance,366
height,363
january,359
america,358
name,357
aimee,354
point,351
last,350
agreement,349
north,344
click,342
activity,341
tap,337
houston,337
transport,335
office,331
tenaska,329
within,329
offer,328
sent,327
oil,325
use,324
next,321
pill,321
market,314
date,312
customer,308
available,308
chokshi,308
management,307
width,306
request,304
thank,300
size,300
look,299
think,296
note,294
noms,294
two,293
actuals,292
desk,292
april,292
based,291
net,291
money,289
susan,288
online,288
smith,287
due,287
june,286
mark,285
team,285
show,283
steve,282
made,282
problem,281
best,280
account,278
le,276
looking,273
clynes,272
send,269
term,268
george,268
feb,268
lloyd,268
october,267
future,266
total,264
process,264
risk,264
taylor,263
pipeline,263
august,260
fyi,259
february,258
eastrans,258
phone,257
duke,256
john,256
investment,253
address,253
david,252
info,252
cotten,251
find,251
special,247
give,246
fax,246
meeting,245
right,245
lisa,244
currently,244
julie,241
link,240
align,240
sure,236
hour,236
allocation,234
place,234
resource,234
young,234
michael,233
december,233
september,232
jan,232
tom,231
transaction,230
buy,229
check,229
end,229
many,228
spot,226
revised,226
without,226
global,225
said,223
lannou,221
hplc,220
still,220
going,220
window,220
cost,219
fee,218
center,218
receive,218
good,217
people,217
graf,216
counterparty,216
since,216
high,214
site,214
actual,213
home,213
friday,212
estimate,212
hank,211
keep,211
november,209
utility,209
internet,208
howard,206
additional,206
supply,206
come,206
operation,205
control,205
million,204
state,204
provide,203
software,203
face,202
megan,201
pay,201
color,200
border,200
must,199
copy,199
dec,198
received,198
update,198
save,198
lee,197
performance,193
position,192
trading,192
created,190
natural,190
gc,190
cec,190
hplo,190
way,189
news,189
data,187
visit,187
pefs,186
marketing,186
href,186
result,185
microsoft,185
needed,184
wellhead,184
iferc,184
unify,184
put,183
demand,183
plan,183
employee,183
camp,182
pop,181
allocated,180
project,180
great,180
brian,179
development,178
carlos,178
trade,178
hsc,177
james,177
professional,177
prior,176
sell,176
anita,176
correct,176
form,176
revision,175
able,174
done,174
review,174
entered,173
someone,172
part,172
access,172
program,172
stop,171
continue,171
section,171
party,170
support,170
rita,169
index,169
regarding,169
allen,168
type,168
current,168
fred,168
field,168
monday,168
however,167
manager,167
content,167
original,166
invoice,165
buyback,165
thing,165
reply,165
period,164
dollar,164
world,164
detail,164
accounting,163
international,163
src,163
increase,162
used,162
corporation,162
believe,162
survey,162
much,161
share,161
via,159
act,159
another,157
flowed,157
katherine,156
either,155
coastal,155
source,155
meyers,154
long,154
letter,154
power,154
event,154
low,154
clem,153
entex,153
financial,153
anything,152
firm,152
brenda,152
soon,152
fact,152
possible,152
create,150
using,150
even,150
wynne,149
logistics,149
paid,149
computron,149
ee,148
gco,147
ce,147
every,147
notice,147
swing,147
valley,147
full,146
read,145
family,145
error,145
zero,144
start,144
getting,144
viagra,144
pricing,143
txu,143
web,143
cotton,143
adobe,142
midcon,141
option,141
stephanie,139
city,139
operating,139
amount,138
schedule,138
spreadsheet,138
interest,138
tax,138
technology,138
jones,137
say,137
including,137
working,137
sherlyn,137
feel,136
move,136
sept,135
got,135
three,135
advice,135
katy,134
rodriguez,134
loss,134
prescription,134
med,134
gathering,133
user,133
equistar,133
quality,133
scott,132
morning,132
charge,132
beaumont,132
producer,131
suite,131
page,131
storage,130
area,130
html,130
record,129
remove,129
valid,128
calpine,128
thu,128
karen,128
style,128
redeliveries,127
direct,127
book,127
tomorrow,126
ranch,126
luong,126
cornhusker,126
